ANIO;MES;UT;UBIGEOCG;NOMDEP;NOMPRO;NOMDIS;NOMCOM;UBIGEO_LOCAL;NOMDEPLOC;NOMPROLOC;NOMDISLOC;CCPP_LOCAL;NOM_CCPP;NOMLOC;SEXO;FECNACUSU;EDAD_USU
2023;12;UT LIMA METROPOLITANA;150103;LIMA;LIMA;ATE;WARMICUNA;150103;LIMA;LIMA;ATE;1501030001;VITARTE;PSCNP_EXCD_LUCERITOS;M;25/12/2022;12
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;18/08/2022;16
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;22/02/2023;10
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;12/01/2023;11
2023;12;UT LIMA METROPOLITANA;150103;LIMA;LIMA;ATE;WARMICUNA;150103;LIMA;LIMA;ATE;1501030001;VITARTE;PSCNP_EXCD_LUCERITOS;M;16/10/2022;14
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;22/01/2023;11
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;M;20/03/2023;9
2023;12;UT VRAEM;50508;AYACUCHO;LA MAR;TAMBO;TAMBO;50508;AYACUCHO;LA MAR;TAMBO;505080044;VISTA ALEGRE;URPICHA DE ORO;F;14/11/2022;13
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;F;16/01/2023;11
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;F;9/09/2022;15
2023;12;UT VRAEM;50509;AYACUCHO;LA MAR;SAMUGARI;SAMUGARI;50509;AYACUCHO;LA MAR;SAMUGARI;505090001;PALMAPAMPA;TRP_SAMUGARI;F;24/05/2023;7
